"","mock1","mock2","mock3","hrcc1","hrcc2","hrcc3"
"AT1G01010",35,77,40,46,64,60
"AT1G01020",43,45,32,43,39,49
"AT1G01030",16,24,26,27,35,20
"AT1G01040",72,43,64,66,25,90
"AT1G01050",49,78,90,67,45,60
"AT1G01070",16,34,6,9,20,1
"AT1G01080",170,191,382,127,98,184
"AT1G01090",291,346,563,171,116,453
"AT1G01100",113,125,246,78,27,361
"AT1G01120",228,189,270,147,83,174
"AT1G01140",181,120,142,161,73,134
"AT1G01160",117,125,215,86,46,212
"AT1G01170",74,57,82,36,22,29
"AT1G01180",46,7,26,24,18,58
"AT1G01210",178,203,98,205,83,143
"AT1G01220",26,49,40,21,15,34
"AT1G01230",72,51,58,70,18,77
"AT1G01240",81,89,45,62,24,33
"AT1G01260",15,52,37,33,27,54
"AT1G01290",7,16,23,30,5,19
"AT1G01300",75,115,232,89,109,224
"AT1G01320",449,590,1421,483,291,966
"AT1G01340",28,7,40,40,21,91
"AT1G01350",30,22,43,41,10,31
"AT1G01420",33,37,71,22,12,46
"AT1G01430",116,110,152,69,32,83
"AT1G01440",34,33,52,32,27,54
"AT1G01448",15,16,45,11,3,39
"AT1G01470",660,562,576,531,592,565
"AT1G01480",10,58,15,52,97,88
"AT1G01490",318,243,138,241,122,190
"AT1G01500",52,40,111,58,21,161
"AT1G01510",29,24,38,26,12,64
"AT1G01540",56,77,81,61,28,89
"AT1G01550",318,194,736,519,231,1064
"AT1G01560",16,15,56,39,58,88
"AT1G01610",248,351,487,178,98,326
"AT1G01620",533,429,489,183,116,299
"AT1G01630",69,59,133,87,42,105
"AT1G01650",178,118,188,193,98,297
"AT1G01680",38,12,66,39,14,33
"AT1G01710",41,47,87,38,42,96
"AT1G01720",213,217,113,261,141,199
"AT1G01725",10,15,19,18,5,22
"AT1G01730",50,43,45,86,53,108
"AT1G01770",13,36,49,22,22,45
"AT1G01780",19,71,41,19,38,25
"AT1G01790",105,83,166,117,45,141
"AT1G01800",60,42,93,48,23,64
"AT1G01820",103,104,174,173,104,236
"AT1G01830",30,41,24,12,3,12
"AT1G01860",28,15,320,16,4,136
"AT1G01900",14,32,56,15,12,21
"AT1G01910",74,59,189,106,29,202
"AT1G01920",7,4,17,21,11,25
"AT1G01930",39,34,21,40,21,30
"AT1G01940",5,4,25,30,10,26
"AT1G01950",8,8,19,16,10,27
"AT1G01960",69,58,160,93,73,240
"AT1G01970",64,35,48,44,25,37
"AT1G01990",80,145,195,103,86,200
"AT1G02000",11,24,74,43,37,89
"AT1G02010",10,24,18,2,11,22
"AT1G02020",62,58,132,62,64,133
"AT1G02080",112,98,175,145,133,290
"AT1G02090",114,147,212,191,68,304
"AT1G02100",40,41,48,56,22,46
"AT1G02110",42,28,71,27,19,52
"AT1G02120",752,789,719,989,300,1325
"AT1G02130",55,62,147,46,50,123
"AT1G02140",166,165,398,202,89,349
"AT1G02145",42,24,29,18,18,29
"AT1G02150",76,74,203,59,32,160
"AT1G02160",91,72,36,58,22,42
"AT1G02170",244,199,299,333,196,629
"AT1G02205",401,479,1014,360,190,394
"AT1G02220",17,19,21,23,27,15
"AT1G02260",7,37,39,12,24,33
"AT1G02270",75,113,281,116,97,260
"AT1G02280",31,57,65,45,15,23
"AT1G02290",23,7,23,2,4,22
"AT1G02300",67,83,58,24,16,40
"AT1G02305",161,167,196,167,66,156
"AT1G02330",44,44,53,39,30,59
"AT1G02335",18,5,17,23,21,24
"AT1G02360",13,13,27,85,92,319
"AT1G02390",24,31,132,23,50,111
"AT1G02400",29,23,34,51,89,118
"AT1G02405",11,11,13,9,19,20
"AT1G02410",33,40,38,22,17,28
"AT1G02450",66,38,82,181,61,56
"AT1G02460",26,47,118,87,54,197
"AT1G02475",476,405,515,458,331,470
"AT1G02500",487,354,2545,964,481,5054
"AT1G02560",323,252,646,233,129,487
"AT1G02660",63,16,15,36,28,41
"AT1G02680",20,26,147,20,23,167
"AT1G02710",4,31,31,24,18,34
"AT1G02720",39,51,113,50,56,78
"AT1G02740",3,5,22,6,24,30
"AT1G02750",13,6,35,30,16,26
"AT1G02780",706,628,978,693,292,1761
"AT1G02816",30,23,20,34,30,29
"AT1G02820",19,16,61,10,8,31
"AT1G02840",64,63,115,93,41,184
"AT1G02850",25,28,29,21,7,32
"AT1G02860",14,30,12,12,13,16
"AT1G02870",25,25,40,13,18,46
"AT1G02880",30,29,40,20,21,51
"AT1G02890",102,138,181,162,99,209
"AT1G02910",73,56,167,54,14,212
"AT1G02920",203,145,473,1837,978,4460
"AT1G02930",1120,762,1341,4293,3561,7372
"AT1G02990",36,40,37,37,21,39
"AT1G03000",34,30,33,24,26,53
"AT1G03030",22,10,44,34,29,59
"AT1G03040",118,93,299,185,94,317
"AT1G03060",40,51,64,91,30,144
"AT1G03080",210,184,137,226,149,223
"AT1G03090",22,15,34,25,9,37
"AT1G03110",19,11,10,1,7,11
"AT1G03130",6676,4034,8412,5594,3771,7431
"AT1G03140",100,86,84,142,52,126
"AT1G03150",29,22,27,41,13,60
"AT1G03160",80,92,251,91,55,221
"AT1G03190",7,14,23,12,9,34
"AT1G03210",53,12,59,34,13,66
"AT1G03220",375,288,174,312,288,819
"AT1G03230",86,62,122,102,95,210
"AT1G03250",50,26,54,53,27,57
"AT1G03260",7,16,43,18,7,49
"AT1G03280",70,47,34,58,49,45
"AT1G03290",92,54,100,141,56,142
"AT1G03310",62,64,87,25,27,34
"AT1G03330",28,25,34,50,16,36
"AT1G03350",77,98,99,77,34,129
"AT1G03370",163,94,167,289,89,370
"AT1G03380",71,50,86,63,42,101
"AT1G03400",52,31,287,91,39,302
"AT1G03430",45,44,46,18,8,38
"AT1G03440",33,19,58,18,15,44
"AT1G03475",414,485,718,446,182,691
"AT1G03520",16,23,27,21,12,20
"AT1G03530",44,85,73,52,25,128
"AT1G03550",8,17,20,8,7,16
"AT1G03590",73,34,35,51,43,47
"AT1G03600",1631,1261,5837,1621,1062,2449
"AT1G03610",122,104,67,164,130,134
"AT1G03630",198,167,922,119,49,338
"AT1G03680",774,815,841,518,298,608
"AT1G03730",18,24,36,41,37,53
"AT1G03740",87,67,145,187,96,266
"AT1G03750",23,20,25,10,12,19
"AT1G03760",17,24,26,29,3,38
"AT1G03850",85,30,70,160,34,180
"AT1G03860",56,39,182,140,87,234
"AT1G03870",39,48,55,11,5,36
"AT1G03900",150,107,225,178,84,367
"AT1G03910",94,66,98,112,57,104
"AT1G03930",45,44,58,45,18,71
"AT1G03950",41,33,60,48,32,65
"AT1G03960",30,13,33,17,15,28
"AT1G03970",28,24,74,20,23,84
"AT1G04000",41,78,31,62,32,37
"AT1G04010",16,22,23,12,20,32
"AT1G04040",25,33,37,11,1,26
"AT1G04070",1,3,28,29,14,27
"AT1G04080",75,89,228,125,39,239
"AT1G04120",98,76,169,183,138,308
"AT1G04130",4,14,46,12,12,24
"AT1G04140",57,94,238,129,43,440
"AT1G04170",106,77,223,92,85,242
"AT1G04190",21,21,44,18,14,35
"AT1G04200",21,25,52,32,28,64
"AT1G04210",18,25,60,63,35,80
"AT1G04220",151,213,216,168,137,108
"AT1G04230",14,15,17,28,9,17
"AT1G04240",21,33,37,16,5,11
"AT1G04250",18,18,18,8,5,5
"AT1G04260",53,41,169,69,61,223
"AT1G04270",203,225,546,275,188,507
"AT1G04280",32,24,22,47,9,34
"AT1G04290",26,39,31,19,31,32
"AT1G04300",109,163,386,168,139,471
"AT1G04340",58,38,297,72,53,478
"AT1G04350",81,96,182,82,37,97
"AT1G04400",284,204,345,227,182,387
"AT1G04410",656,663,1473,787,357,1582
"AT1G04420",110,56,134,59,22,86
"AT1G04430",138,123,192,65,89,149
"AT1G04440",125,118,147,155,114,200
"AT1G04480",71,73,147,134,99,251
"AT1G04510",62,85,215,99,74,293
"AT1G04530",158,156,129,130,84,199
"AT1G04550",15,8,35,15,0,32
"AT1G04555",25,27,32,11,8,46
"AT1G04570",10,4,22,5,11,16
"AT1G04590",22,34,41,22,32,23
"AT1G04620",85,85,189,66,37,178
"AT1G04630",27,67,48,21,15,42
"AT1G04640",77,67,247,58,29,175
"AT1G04680",87,101,190,115,60,181
"AT1G04690",195,151,149,209,133,226
"AT1G04710",7,18,48,23,14,32
"AT1G04750",77,117,200,113,70,256
"AT1G04770",44,45,61,14,36,46
"AT1G04780",105,88,123,124,93,184
"AT1G04790",13,31,45,29,19,45
"AT1G04800",341,303,216,215,77,260
"AT1G04810",75,78,242,128,49,368
"AT1G04820",227,193,654,288,105,886
"AT1G04830",31,20,59,37,12,75
"AT1G04850",176,104,207,213,60,229
"AT1G04860",27,42,61,69,39,73
"AT1G04870",19,15,45,41,23,56
"AT1G04900",2,6,69,18,9,89
"AT1G04910",27,26,87,93,53,131
"AT1G04940",64,43,176,49,34,117
"AT1G04945",6,1,21,13,3,19
"AT1G04950",26,25,45,21,10,42
"AT1G04960",73,54,67,71,48,72
"AT1G04970",32,38,112,56,26,94
"AT1G04980",71,64,136,288,90,259
"AT1G04985",45,75,99,102,59,104
"AT1G04990",67,160,253,141,166,265
"AT1G05000",8,7,12,16,26,25
"AT1G05010",308,157,419,1523,387,1433
"AT1G05030",38,30,90,36,27,89
"AT1G05055",19,17,59,24,10,73
"AT1G05060",26,26,67,36,23,53
"AT1G05070",44,28,97,28,16,53
"AT1G05100",11,11,7,13,6,11
"AT1G05120",22,18,51,31,19,67
"AT1G05135",3033,4013,916,4873,1312,2863
"AT1G05140",215,243,269,168,150,141
"AT1G05150",40,27,16,21,7,24
"AT1G05170",9,9,31,32,10,29
"AT1G05180",37,56,89,69,14,131
"AT1G05190",840,689,2126,683,282,1234
"AT1G05200",55,68,99,64,28,98
"AT1G05205",30,18,56,26,10,42
"AT1G05230",8,4,39,23,9,22
"AT1G05270",62,56,115,73,39,172
"AT1G05300",34,17,74,265,124,521
"AT1G05320",4,19,13,27,15,19
"AT1G05340",128,82,38,150,204,68
"AT1G05350",50,40,64,78,47,152
"AT1G05360",7,12,16,24,12,13
"AT1G05380",11,42,53,43,28,113
"AT1G05385",23,27,81,11,11,41
"AT1G05410",17,22,20,18,10,13
"AT1G05420",12,21,12,11,5,14
"AT1G05430",31,40,52,18,30,48
"AT1G05460",22,32,40,16,17,25
"AT1G05500",89,32,71,55,46,81
"AT1G05520",43,43,144,65,44,207
"AT1G05560",578,494,299,302,107,177
"AT1G05570",38,28,116,61,35,114
"AT1G05590",27,38,74,34,19,53
"AT1G05620",10,102,19,53,33,13
"AT1G05630",15,14,33,31,15,35
"AT1G05670",6,20,7,13,37,26
"AT1G05680",64,227,35,72,243,51
"AT1G05710",16,7,32,17,30,46
"AT1G05720",26,19,18,38,5,27
"AT1G05780",14,11,14,8,9,17
